inviter_id,cate_id,cate_interaction_freq
0000ec6f26ef7625d492ee3e57832a0f,201774302,1
0000ec6f26ef7625d492ee3e57832a0f,50000565,2
0000ec6f26ef7625d492ee3e57832a0f,50005065,1
0000ec6f26ef7625d492ee3e57832a0f,50008900,1
0000ec6f26ef7625d492ee3e57832a0f,50012772,2
0000ec6f26ef7625d492ee3e57832a0f,50013008,1
000703f125be99b070a684af3bc06a22,127226002,1
000703f125be99b070a684af3bc06a22,162201,2
000703f125be99b070a684af3bc06a22,162205,1
000703f125be99b070a684af3bc06a22,50000671,4
000703f125be99b070a684af3bc06a22,50009048,2
000703f125be99b070a684af3bc06a22,50012598,1
000703f125be99b070a684af3bc06a22,50012677,1
000703f125be99b070a684af3bc06a22,50026194,1
0007ca9e703ed4c3b33cb5eea02c2567,110502,1
0007ca9e703ed4c3b33cb5eea02c2567,121388022,1
0007ca9e703ed4c3b33cb5eea02c2567,122660009,2
0007ca9e703ed4c3b33cb5eea02c2567,125212001,1
0007ca9e703ed4c3b33cb5eea02c2567,127460001,1
0007ca9e703ed4c3b33cb5eea02c2567,201160707,1
0007ca9e703ed4c3b33cb5eea02c2567,201160807,5
0007ca9e703ed4c3b33cb5eea02c2567,50001716,3
0007ca9e703ed4c3b33cb5eea02c2567,50002711,1
0007ca9e703ed4c3b33cb5eea02c2567,50005230,1
0007ca9e703ed4c3b33cb5eea02c2567,50006119,1
0007ca9e703ed4c3b33cb5eea02c2567,50006760,1
0007ca9e703ed4c3b33cb5eea02c2567,50007066,4
0007ca9e703ed4c3b33cb5eea02c2567,50009189,1
0007ca9e703ed4c3b33cb5eea02c2567,50010158,1
0007ca9e703ed4c3b33cb5eea02c2567,50011894,1
0007ca9e703ed4c3b33cb5eea02c2567,50012689,1
0007ca9e703ed4c3b33cb5eea02c2567,50012922,1
0007ca9e703ed4c3b33cb5eea02c2567,50013038,1
0007ca9e703ed4c3b33cb5eea02c2567,50013403,1
0007ca9e703ed4c3b33cb5eea02c2567,50013894,3
0007ca9e703ed4c3b33cb5eea02c2567,50014918,1
0007ca9e703ed4c3b33cb5eea02c2567,50015437,3
0007ca9e703ed4c3b33cb5eea02c2567,50015847,2
0007ca9e703ed4c3b33cb5eea02c2567,50020107,3
0007ca9e703ed4c3b33cb5eea02c2567,50020450,4
0007ca9e703ed4c3b33cb5eea02c2567,50020633,1
0007ca9e703ed4c3b33cb5eea02c2567,50021420,2
0007ca9e703ed4c3b33cb5eea02c2567,50021800,1
0007ca9e703ed4c3b33cb5eea02c2567,50022289,1
0007ca9e703ed4c3b33cb5eea02c2567,50022524,3
0007ca9e703ed4c3b33cb5eea02c2567,50023107,1
0007ca9e703ed4c3b33cb5eea02c2567,50023200,1
0007ca9e703ed4c3b33cb5eea02c2567,50024638,1
0007ca9e703ed4c3b33cb5eea02c2567,50024649,1
0007ca9e703ed4c3b33cb5eea02c2567,50025891,1
0007ca9e703ed4c3b33cb5eea02c2567,50026887,2
00099a4505b0ae1d6aec8db67f13567c,110201,1
00099a4505b0ae1d6aec8db67f13567c,122338002,2
00099a4505b0ae1d6aec8db67f13567c,122658003,1
00099a4505b0ae1d6aec8db67f13567c,125024006,1
00099a4505b0ae1d6aec8db67f13567c,201657001,1
00099a4505b0ae1d6aec8db67f13567c,50000852,1
00099a4505b0ae1d6aec8db67f13567c,50003458,1
00099a4505b0ae1d6aec8db67f13567c,50006077,1
00099a4505b0ae1d6aec8db67f13567c,50008554,1
00099a4505b0ae1d6aec8db67f13567c,50009032,1
00099a4505b0ae1d6aec8db67f13567c,50010422,1
00099a4505b0ae1d6aec8db67f13567c,50010665,1
00099a4505b0ae1d6aec8db67f13567c,50011745,1
00099a4505b0ae1d6aec8db67f13567c,50012019,1
00099a4505b0ae1d6aec8db67f13567c,50012089,1
00099a4505b0ae1d6aec8db67f13567c,50015374,1
00099a4505b0ae1d6aec8db67f13567c,50015514,1
00099a4505b0ae1d6aec8db67f13567c,50015931,1
00099a4505b0ae1d6aec8db67f13567c,50018824,1
00099a4505b0ae1d6aec8db67f13567c,50019583,1
00099a4505b0ae1d6aec8db67f13567c,50020059,1
00099a4505b0ae1d6aec8db67f13567c,50020072,1
00099a4505b0ae1d6aec8db67f13567c,50020694,1
00099a4505b0ae1d6aec8db67f13567c,50020861,1
00099a4505b0ae1d6aec8db67f13567c,50022306,1
00099a4505b0ae1d6aec8db67f13567c,50022351,1
00099a4505b0ae1d6aec8db67f13567c,50022354,1
001402984cdfb4d05ac7ab2b410e504e,50010817,1
001402984cdfb4d05ac7ab2b410e504e,50012598,2
00189bcba55e3ffe420d28f008c245f9,201308308,1
00189bcba55e3ffe420d28f008c245f9,201468201,3
00189bcba55e3ffe420d28f008c245f9,201799001,1
00189bcba55e3ffe420d28f008c245f9,50006950,2
00189bcba55e3ffe420d28f008c245f9,50011692,1
00189bcba55e3ffe420d28f008c245f9,50016097,1
00189bcba55e3ffe420d28f008c245f9,50016098,2
00189bcba55e3ffe420d28f008c245f9,50018812,1
00189bcba55e3ffe420d28f008c245f9,50020032,1
00189bcba55e3ffe420d28f008c245f9,50023748,12
00189bcba55e3ffe420d28f008c245f9,50025676,2
00189bcba55e3ffe420d28f008c245f9,50026826,1
00189bcba55e3ffe420d28f008c245f9,50026857,2
00189bcba55e3ffe420d28f008c245f9,50026872,1
00189bcba55e3ffe420d28f008c245f9,50026892,1
00189bcba55e3ffe420d28f008c245f9,50026912,1
00189bcba55e3ffe420d28f008c245f9,50026917,1
00189bcba55e3ffe420d28f008c245f9,50026923,1
00189bcba55e3ffe420d28f008c245f9,50026926,3
00189bcba55e3ffe420d28f008c245f9,50026954,2
00189bcba55e3ffe420d28f008c245f9,50026975,3
00189bcba55e3ffe420d28f008c245f9,50050393,2
001b113dc6d0f4fb033b74b2880926a6,111201,1
001b113dc6d0f4fb033b74b2880926a6,121370019,1
001b113dc6d0f4fb033b74b2880926a6,121424009,1
001b113dc6d0f4fb033b74b2880926a6,121478031,1
001b113dc6d0f4fb033b74b2880926a6,122396008,2
001b113dc6d0f4fb033b74b2880926a6,122684001,2
001b113dc6d0f4fb033b74b2880926a6,124086006,1
001b113dc6d0f4fb033b74b2880926a6,150704,5
001b113dc6d0f4fb033b74b2880926a6,1623,1
001b113dc6d0f4fb033b74b2880926a6,201241307,2
001b113dc6d0f4fb033b74b2880926a6,201305209,1
001b113dc6d0f4fb033b74b2880926a6,201534603,1
001b113dc6d0f4fb033b74b2880926a6,201539003,1
001b113dc6d0f4fb033b74b2880926a6,213202,1
001b113dc6d0f4fb033b74b2880926a6,302910,3
