item_id,item_popularity
d851e3004feff8ba26f7def899652a1e,461
e66c4d50b671b07227889b8c374582bc,279
61506436273ac58e5a36bbbab412f585,275
9c4ab96d80d5266b041e501ad914ba7b,218
2608bed1f9e0fb589b22510a30709e4c,213
e60630d4837cec640e6029803d63bced,207
4d437857946368b3182334e93ec3c611,198
5256724633a86aec1e2dd4f8f0d93bb3,189
f9c4947c9fd2f0a4cdc666507c07ea1a,185
1dc86b59dde19b3f72409b43c8a3e251,177
40cabef8786d6b4b83af13a38d317df1,162
71411e4f97409410f45bab6de1a5e165,151
6fd30f0cb353edbf7a7377892b41e16f,142
2b73cb298242d734726416a2ffd2d00e,141
40564ab78900c2616c9d114fb48eba35,141
0d2b85574e86404182b2fdc3bd61cfa1,141
9d388084cf7d6fd61dbac8e597a8e03e,141
f1e507be404b2be7e4611bb9f5b8d0f0,141
aa51da5b00238005ef9b8f0361e5c525,141
14c2bfc9eb8281f49d0c27bb2dca178f,141
0ecca42e0df2b8345e96f19bb23403a7,139
2c76a8858ba80525806fb6866ec9ac54,139
06295d6c92f7c26c3c65b361a47a75f0,139
14809f54d50f56d65395f0b4c963857a,139
da337029663a94c2a2536e104ccd336c,139
e375658eec4e41a43e694c977706c50d,139
0843924f9ead89f2619b9bb26ba4ff35,138
e8994e02df77fdb710c93f5a387a1c51,138
ca9de56c1013a44a469af6b0d876b66c,136
9534abfeac0427b2a56e10d09186e6f5,136
0a835812dbfd711bb65928e8a157a114,136
6b32bb7ecaf0b714c39c92156ba0a1eb,135
0db888630e798445f92d511ebf90859e,135
91fbbd9f82a194382aca750c5b4c0656,134
4dbe82c1fda33b6a9e0fb97ae761a535,134
05c29293f0410eedfa3c9ea2e8e4a416,133
8c68582969b8177943563219b6eae0a0,133
08ca1a0a21b2386b177cc4178d664586,133
7b801ffa91baf70315ab14fb25db2ddf,132
9382af69c13f5ead2cc2dc8f00aa118a,132
c70a7dee099190e3aa32c8dd78d4327f,132
22b7a4af78c559b026123ed55f9386ee,131
aec7a2421eddf49216ac4d016fb331b0,131
1c576cd0658c4fb1d329bf8aaa8f0554,131
4bdcd39cf93c19b86dd056dfb7fe0221,131
8e7e43e3367da5704915cbb292da6c46,131
aa077d2930d0a550c94ab7c3e3893258,131
