user_id,in_degree,out_degree
e5ae84b81cda4f957970fa80b34d8738,1,0
663132467435ead22753d6f268ca459a,0,6
03a21c3d2b087e9bf8f9797a4605bcdc,1,6
813f14b2beb9136a117e4c93811da1ef,1,0
57a7d094c2db55bcee05dfb78e442e78,1,0
2abb48a5d221ca0efbe0c59c8354124f,1,0
4cf85eb58dcf4133530768575d72294a,1,0
d69ad2427f179793be5df6490bd5e226,1,0
a68159d84ec40668f2b553ec3965300a,0,3
bf148c6848914ddd13534bc23a207000,1,0
ad9e1f65fb3a28cdcdd8d56b6b33b915,2,5
f8f9b6ec4e8b1a60a3bb339bb4268ecd,1,0
2a9540cf0ef5dfdfd983fb6c6e5f486d,1,0
c183be55303e6af455d75310560a68ab,1,0
86da21e4a866af9dd38ed077644c0cdf,0,1
e0b23af85d05e5cbc83c18c0b4582b59,1,0
0900cd3e0b7166cd704e700136d1506b,1,0
932cb4c3b3b81cdd1f37d5c889e40513,1,0
be569371ab22ed941b39f9b533e9b2da,1,0
7732c3615f4dbc8561ea35d6996df74b,1,0
df2a8d1e20131c35d7f666679bd6c2a8,1,0
c1bd56dea71ae09387a4b5775569b523,1,0
a15f4ca17b5fde62e9be9d91fc653c22,1,0
521959f603a098802a9320747d9ff23b,1,0
a6d5b28b58883adb9fc3336c59deac49,1,0
bb37dd6c94da96962dd083ab580957dd,1,0
911f11323be6db843f24f45917dcd7c9,1,0
9a19226ddc4c782f7c4978cfd1ca5a7d,1,0
f8cdc5c992a453b2aca8c517f38b7cb5,1,0
588850441a9003c4a04688055b2840c1,1,0
e0d9baa8dec894d07c6bd2c74785f59c,1,5
a7fd90e672902dd100b4404e4bf3df30,1,6
72457647468e169bcabe781a9f902bcf,1,0
6f41d2bbf8375ac4d3d09e34c898c82e,0,3
105a5e74b4d2b88d16baa4fe2f77e01f,1,0
5579907bae45bdf24c583839a6e683c0,1,0
c9cd5e911bc8b2b17f08a4361c056c93,1,0
84d0946ec021737c0ec800f7f924c8fe,1,0
fa9e5876a9979ccaf10c01a9fcb85beb,1,11
7d8c5db473e28b4730cd856b6b19e792,1,0
b9ef0c4a77f5199ef420b2eab66ed89c,1,0
0b74606e2ffc89b1572f1521d7c1327e,0,9
defa7f48d8e4c8365b70870f3e8c3a3c,0,4
9c9d42ba3af2d671775a7cbc6293d2a0,4,9
390398fa72e6f4d31bd8ed6f80c7ce8b,1,0
b3a941e26ca4e9e514735b2e45c05a50,1,0
3c3a625ea643fefb0b70612dd0b8fedc,1,0
dbc6f679e955d1935025e3cc37814af6,1,2
9b6ef1aa77885cf9976282fd9661ea52,1,0
62da951f8522f6dae40419fb03b73a1d,1,0
80cea11ea9c7f135d52da018768ddc79,1,0
7aac1777470faeb2af7ca211c8670c19,1,0
2305b06facc160d4bfa1e7b086f71a4e,0,4
f634d2863d078e200862912711768eb1,1,0
f0f34ce1bb042ea497b7fb0e84ce2bd8,1,0
a44e0d170ba766d14a2301265904312f,1,0
1b3fc7a32b3fbab7578c84e5dc293a14,1,0
e7d3f477dd5f35e08c3be7bcd2cada5b,1,0
aeea56f6b4dfe2ae1469010b3d925b87,1,0
035bb0524466294632fe3ff88c9019cb,1,0
c622f2949a138736562219cfa6aaef4c,1,0
3937643cc84042aaf52ce6253c188c9d,1,0
193439f81adf4c09553b57a5e751d750,1,0
c93edfc12fa2e872a8ffc234853e0f27,1,0
013f09b5b8d393388fc5d14117e048c3,1,0
65f042f333411363dcca3b9e59123623,1,0
9e565249ca2a5db40bc4ac3f63b61efb,1,0
0f29e977d5a7cff39d8e520952e77bfe,0,3
88f4a52fbccf196590c0b1f96cca7bc9,1,0
0fe8c44f979e2c9ab90b4c78e42ad911,0,14
f4d713d1032ca43b1238f6ebbae06ff3,1,0
9fc38e49651dc180804fe50c18947247,0,1
41d19fa90c8554767d5bbfc71feaa99b,1,0
19e3f196e4e99d05007915a967d12ea2,1,0
1dc78aae89f33af17a002132da92f854,2,0
d794d93d05b75ebd24b020cb72610e94,1,0
d765945bd9bda15d9453c0c5c03adb64,2,0
f51118e54f2326c035be406bca3c299b,1,0
3b312e942a17cc2695a6c95a6b803d98,1,0
e7e8ca09cdecd44bf8fbdd18063af326,1,4
7fa84e058597d7edfc8bd7552b83c5b7,2,0
72f84447fbf874c953932ea9cd1e5448,1,0
d346198d6af698b236ec05007f7f9497,0,2
21e24f8e1ac86dabd40eaa4caaf98da4,1,0
6e58ff542420588e20bb6085c9456edc,1,0
3d268e4d3de18658c139b0ad51f8fc0d,1,0
267977085d0a7658caa393510e50aab0,1,0
1b4b27f02c07350c7b2e38e241b16869,1,0
cdcf515116a4322e9f8cb1f74237ca17,3,0
dd7c23d396e0d433bc177061482b46b4,1,0
16d8776efa935c9533e41fb1049e5f4a,1,0
dc09ce3934c4a1024574b1b217fea1c3,1,0
00fe2c9a9f5c466b0cb36c4d3afb07d6,1,0
81f156ea5be54b2a37be9fd2fa3e2614,1,4
acc0287532c28eb5497778a3d6295617,1,0
6deb76fa9e1391ad11be1cefd264c0f8,1,0
a4f4031b498349e84ecac64f68740b7d,2,0
5d3aa489754608afe94163673443278b,1,0
09c3690167f1ec67872c4ef749f1f448,1,0
30278ba8b7cec503ddee69e0c86b7c6f,1,0
388633a7ad663166b0dc374ea16c50a1,1,0
5aba1f5404fa62dcc009e9729ed75816,1,0
f15747a7bf9bea3f4815875f8592377e,1,0
16ad1908ab1e71ef02cf934967415797,1,0
71ab0c1ac180961a95e19ae623957409,1,0
f4f669a790792ba642d73fc125bec9b1,1,0
8c926580b74f4436fe12ad308bd8e5a3,0,10
b01c47adc9f50ae9e32ab7378d6ec2c2,1,0
7e7ffc1a9308fbad82e96cf8be2e367f,1,0
37513a31546d2bfd0317cdc569f225d5,1,0
8c5626f6f9849d45678bf44fe755cc91,1,0
da48063b1b312310e7a32493a019a69c,1,0
1d1865a89e5510a73bfc5a84622878b9,1,0
e3100080ff219cb4d0de7f36f8a278bd,1,0
0b01455ea48f7414e3771f69be999333,1,0
4823699c9c8ead42292276513e378a2e,1,0
da64a0353832cc42687b36b666c2a0d5,0,3
ec2ee7d03012bd57bbb346ee269c3725,1,0
1e1c6f4b7a87d6129d70f7f9ed5feb6d,1,0
ef0d49760f1bd3fccc6d0e7ac5d318b4,1,0
6c9d17ee11f8a37748ece223f7fe917a,1,0
35f69054636fc6beb6e67195504f589f,1,0
cd4a8ffe34f16bdf1e84878cd7f2ce68,1,0
5a6ed025f308b111dc9693f0af4b030a,1,0
96b11739c9baccd2eff64725dde89fbd,1,0
8afded10066611ae40373d898d2d3026,1,0
62664fc0868c0cd8ad9b755ebfc73015,1,0
b9d1c2e43f899d2b91d82b164089c381,1,0
95d63e40b996941d7217b2cc193814c2,0,7
831088f84bd8ea9ac244b4fd036a056f,3,0
c793151a807daa76476ee8bf95193a8b,1,0
9da00bd6ea3a31525df9ad4f374ea4ab,1,0
6368e3edf0ca84240c641a280d500311,1,0
54d74596fe58af58f1dc29f2987d65d0,1,0
e7dc72dbdb140d39f18dd8020d48acb5,1,0
1b642dd97c105a51aaa2d8c718621b63,1,0
116031974890481724582ea6b1258243,1,0
9be549ec99c7a07286e00287d6d58357,1,0
626fe146d6059e0f220c622941d0071c,1,0
28a7798429fd46bfb90904198436a274,1,0
145229f345cb85063d46b116c009b7ed,1,0
cda7660dd1ef9750b80f4c8618d155c2,1,0
97accd52602e852c2407b384f9bf8e5d,1,0
435fd06efb187f66fc2025e75a79a2c0,1,0
e0c873b6d72a42cd14187f26ccf8ac3a,1,0
6ea03cc1f3ec10e1838c03c13e6a3242,1,0
04623c264fbdbec4f1b40815949426df,1,0
72759573839fb90fd506c0cf1c62caff,1,0
6387e54ccdaff8a1beba4d94408ca45b,1,0
55dbed549db470b67b2852a7f943d3b7,1,0
f66d5b9bec2969642da41ceea8b38a46,0,3
168f1d2280d55f2511700ebe9adbd78f,1,0
060e16f5cc1ce410d39e07c88121735f,1,0
d0624b5fc93a59497a5bc39a29dd83fc,1,0
19b03c7b1bd701dbb6ef3ecc23bed282,1,0
a6c150c05bf21ebc1dd5cb76216c289f,1,0
84c8e0c21dbb7194d9dc32a954693cd8,1,0
c32b76d9fee7f318c7c38c3efb60c5a2,1,0
15a3f5fa1fa0cd7ed5ec9247522ab499,1,0
a586d4c98c03e4d4a824ea72cb69d848,1,0
a5784acf0fd29c868bf380c66e4c1e98,1,0
fd321c45c0dc17bab9b08c2bf1489f22,1,0
f80de76b4bb0dcd5297838c1363628d0,1,0
c8113105686383d7ffed7bce4fa069e8,1,0
07ef12e3cc5d23e469bd2cea32e6eb9e,1,0
43abe500c019e7222d171df55233c40a,1,0
720249fdd29140a144e3c00572ed0d56,1,0
61cd9ae0f5ca4d4088a66c3736683a86,1,0
56549d4c1725dd716489a716ae485c0a,1,0
2a9033a10dc600ab64ed81312bbcd79b,1,0
de5047f1f3e02abf5271a72733cee418,0,4
4d49ebe44be9c448445e2699fe9c3d55,1,0
d044af2792576744f0648348d3f89daa,1,0
be7c1f5ca395b450fe124e1e4066ce5b,1,0
9143074c415ecb7e82f62a9bad58fa32,1,0
fbf837f9bb2fd7a0e26ec33a72cef967,1,0
539fd9a8cc0b7850dad0837111c64a3f,1,0
4a542b3212486d5e3c51e5cca393d1c0,1,0
6847b3acb8a03b39e1f65a5731a17cdb,1,0
90430b7d457188b97cac74816e198c21,1,0
992035aa3204cdc36356785b8d1612b6,2,0
450ef04abf4e8af36173acbfe8f88cad,1,0
c7380baefe015f4dfc045c21ec0f74b4,1,0
97ee7a292fccecfc97f6091d9fa44f5c,1,0
26a5110486137faa6252db5c6f2f1e84,1,0
1d0206dc95ba0f2034691afdcda352da,1,0
c7a0f2cb6f81adf8b5918dcfa0ad0b10,0,2
b5114b568940ddf90fc327f6e652da28,1,0
3b5a791246d8beb74a9f4fc6118f5671,2,0
493552f873661818b13a893d6913b274,1,0
eac8e93f89215085fb1997fe27d1259e,0,6
88c9d4435765750a96a0f3f45fac73e1,1,0
99002cf68a4e7d5b6c796f529857b73f,30,0
23c7e17a4a66fe6c6f9f23f8ade489fa,1,0
c407152c120b014da553398080438797,1,0
a693d2e3faa4b062543b0206cbd1c62c,1,55
e437ca7c2d621984d83a50d4a862843d,1,0
