inviter_id,voter_id,user_interaction_freq
0000ec6f26ef7625d492ee3e57832a0f,bcc0a979710361b85213bfff1a009c51,8
000703f125be99b070a684af3bc06a22,9bab90679d74646445f2562497b3f104,1
000703f125be99b070a684af3bc06a22,d03d835a1fcf657bb577c9d7fd82cca4,11
000703f125be99b070a684af3bc06a22,f22b16f0151bada76076a6a6b732f110,1
0007ca9e703ed4c3b33cb5eea02c2567,0323fe85e5aa6d72cc64bfaeaf0c2535,2
0007ca9e703ed4c3b33cb5eea02c2567,24992053e03b4c6967fa639e8d29e764,1
0007ca9e703ed4c3b33cb5eea02c2567,2662bc737d39a15f9b44c37ea13c4e38,1
0007ca9e703ed4c3b33cb5eea02c2567,32900f4be8e0e6b333563406b105458a,2
0007ca9e703ed4c3b33cb5eea02c2567,35d0d9f7deeddb036c7e2b815d4eec7b,3
0007ca9e703ed4c3b33cb5eea02c2567,3eba49a3dd8c6258becf1ea4c7019781,6
0007ca9e703ed4c3b33cb5eea02c2567,43d9d4e43994758674c19a1e1900b8aa,4
0007ca9e703ed4c3b33cb5eea02c2567,5096857a388f8ca16c19db6d2cb8029d,1
0007ca9e703ed4c3b33cb5eea02c2567,5d0b4d918d4d52a8039c8c65d5a32cf8,1
0007ca9e703ed4c3b33cb5eea02c2567,6c312c74dc7f40fb23bfd10963d0e9c4,1
0007ca9e703ed4c3b33cb5eea02c2567,8bfdded1f46d6a263f65d3e58f7e0a53,7
0007ca9e703ed4c3b33cb5eea02c2567,95d667b8fb181fc3ae4b030e4d8e5a60,1
0007ca9e703ed4c3b33cb5eea02c2567,c4ff67390ef9c5356b413bfb4af4dc1c,12
0007ca9e703ed4c3b33cb5eea02c2567,c54dfa0bbbc9abd64594473a096cf95a,1
0007ca9e703ed4c3b33cb5eea02c2567,cb05c84a7076de651faece8042dabb11,13
0007ca9e703ed4c3b33cb5eea02c2567,cd71f1e636abf953fdce71a6c282ff90,4
0007ca9e703ed4c3b33cb5eea02c2567,e8f51acfbd0092143947eae6e5b33311,1
00099a4505b0ae1d6aec8db67f13567c,1bb115afae7d7f3a609f60540a87f736,1
00099a4505b0ae1d6aec8db67f13567c,250a198427de76875278ac0e1c6a4fcb,3
00099a4505b0ae1d6aec8db67f13567c,66e8847a72c3372c6365b61eb2bb0eea,6
